pool,chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedProbability,binnedConfidence
e3f861c0-c2b9-4b50-b799-a036a3f11da1,Ethereum,curve-dex,ADAI-AUSDC-AUSDT,21317957,3.91667,0.00907,3.92573,['0xD533a949740bb3306d119CC777fa900bA034cd52'],-0.40974,-8.2827,1.35108,True,no,multi,,2.2555,0.07876,545,False,"['0x028171bCA77440897B824Ca71D1c56caC55b68A3', '0xBcca60bB61934080951369a648Fb03DF4F96263C', '0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811']",-3e-05,,4.46603,,,,Down,63.0,2.0
405d8dad-5c99-4c91-90d3-82813ade1ff1,Ethereum,aave-v2,DAI,20064261,5.18096,,5.18096,,0.06919,-4.71023,3.12148,True,no,single,,1.708,0.085,379,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,4.52519,,,,Down,67.0,2.0
381b00d5-b4f8-489c-95cb-40018c72bdd3,Ethereum,reserve,EUSD,19755800,0.0,0.0,0.0,[],0.0,0.0,0.0,True,no,single,,0.0,0.0,56,False,"['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', '0xdAC17F958D2ee523a2206206994597C13D831ec7', '0xdAC17F958D2ee523a2206206994597C13D831ec7']",,,0.0,,,,,,
844a8a29-4653-42e6-b675-a6b43fac3678,Ethereum,convex-finance,FRAX-3CRV,19555981,2.35173,8.48057,10.83229,"['0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b']",1.57075,1.6754,9.42098,True,no,multi,,4.11162,0.11909,546,False,"['0x853d955aCEf822Db058eb8505911ED77F175b99e', '0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490']",,,4.75195,,,,Down,74.0,2.0
d6e3dd14-0495-4aec-b226-ae98215dcd38,Ethereum,uniswap-v3,DAI-FRAX,19248411,0.16301,,0.16301,,-0.53717,-0.42806,-0.33861,True,no,multi,0.05%,0.2775,0.05831,543,False,"['0x6b175474e89094c44da98b954eedeac495271d0f', '0x853d955acef822db058eb8505911ed77f175b99e']",-0.01903,0.0,0.23939,171923.52984,1030722.89842,,Stable/Up,69.0,2.0
529258ee-9b27-4fcf-a32c-b82abb3fda68,Ethereum,origin-dollar,OUSD,19008042,,,3.67271,,0.01596,-0.33425,-0.46223,True,no,single,,4.76695,0.1369,360,False,"['0xdac17f958d2ee523a2206206994597c13d831ec7', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0x6b175474e89094c44da98b954eedeac495271d0f']",,,4.00142,,,,Stable/Up,69.0,2.0
2b7f6b6d-39fd-4bbe-ab37-d0e56615dde0,Ethereum,across,USDC,16101609,1.32601,7.8836,9.2096,['0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f'],0.1602,,2.14378,True,no,single,,5.4334,0.12362,381,False,['0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'],,,7.7424,,,,Down,79.0,3.0
1343a280-7812-4bc3-8f98-d1c37e11d271,Ethereum,morpho-aave,USDT,14498134,5.64993,,5.64993,,2.29526,-9.60067,2.27773,True,no,single,,3.80688,0.27323,302,False,['0xdac17f958d2ee523a2206206994597c13d831ec7'],,,6.19601,,,,Down,69.0,2.0
926767b8-86be-4f19-938b-f91f1b74ca89,Ethereum,yearn-finance,USDT,10201694,,,2.58762,,0.06319,0.05992,1.3601,True,no,single,,2.07881,0.06679,379,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,1.82467,,,,Down,51.0,1.0
b8bcdf8e-96ed-40ca-a7aa-aa048b9874e5,Ethereum,morpho-aave,DAI,10172285,5.60457,,5.60457,,0.07672,-6.30598,3.06903,True,no,single,,2.2436,0.10951,302,False,['0x6b175474e89094c44da98b954eedeac495271d0f'],,,5.3617,,,,Down,72.0,2.0
3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,Ethereum,aave-v3,DAI,8448093,3.64684,,3.64684,,-0.51565,-3.35793,0.91732,True,no,single,,2.45318,0.13123,185,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,4.83438,,,,Down,55.00000000000001,1.0
40e2054c-779d-4499-845f-95b4a31277f7,Ethereum,uniswap-v3,USDC-USDT,7769878,0.21885,,0.21885,,,-1.25515,-0.68996,True,no,multi,0.05%,5.6039,0.92718,497,False,"['0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0xdac17f958d2ee523a2206206994597c13d831ec7']",-0.00026,0.0,2.26824,93174.06937,5715592.99005,,Stable/Up,59.0,1.0
7394f1bc-840a-4ff0-9e87-5e0ef932943a,Ethereum,convex-finance,DAI-USDC-USDT,7554049,0.61976,3.17536,3.79512,"['0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b']",-0.36219,0.30655,1.4019,True,no,multi,,1.70927,0.05188,546,False,"['0x6B175474E89094C44Da98b954EedeAC495271d0F', '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', '0xdAC17F958D2ee523a2206206994597C13D831ec7']",,,2.87455,,,,Down,64.0,2.0
b61ef013-6391-4cdd-b057-b344ab852088,Ethereum,convex-finance,LUSD-3CRV,7452864,0.77833,1.0019,1.78024,"['0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b']",-0.16545,0.03539,-1.52601,True,no,multi,,4.25177,0.11833,546,False,"['0x5f98805A4E8be255a32880FDeC7F6728C6568bA0', '0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490']",,,1.98838,,,,Stable/Up,95.0,3.0
f20285cf-902f-4a3d-b550-360a2a90856a,Ethereum,uniswap-v3,FRAX-USDT,7390113,0.09965,,0.09965,,-6.45003,-2.09016,-0.34802,True,no,multi,0.05%,2.2011,0.2093,543,False,"['0x853d955acef822db058eb8505911ed77f175b99e', '0xdac17f958d2ee523a2206206994597c13d831ec7']",-0.00723,0.0,1.09067,40353.91594,6371545.86102,,Stable/Up,73.0,2.0
6303c3d4-4b56-49ff-9be0-83d4bcdd2574,Ethereum,morpho-compound,USDT,6949909,4.70939,,4.70939,,-0.50415,-4.82116,1.59849,True,no,single,,3.19908,0.13492,343,False,['0xdac17f958d2ee523a2206206994597c13d831ec7'],,,3.84386,,,,Down,56.00000000000001,1.0
30339b96-be67-45e5-87cb-adcd91049803,Ethereum,convex-finance,ADAI-AUSDC-AUSDT,6259937,3.91667,0.09074,4.00741,"['0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b']",-0.40924,-8.28022,1.32667,True,no,multi,,2.81095,0.10713,546,False,"['0x028171bCA77440897B824Ca71D1c56caC55b68A3', '0xBcca60bB61934080951369a648Fb03DF4F96263C', '0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811']",,,5.1575,,,,Down,56.99999999999999,1.0
8a922da8-ee3c-44c8-a6c0-68bed39089c2,Ethereum,pancakeswap-amm-v3,USDC-USDT,5473647,0.69015,12.21405,12.9042,['0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898'],-0.64549,-4.95757,4.83713,True,no,multi,0.01%,12.981,1.20963,119,False,"['0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0xdac17f958d2ee523a2206206994597c13d831ec7']",0.0,1.73887,19.67321,1034968.73553,21675283.98619,,Down,83.0,3.0
8ec9e3e2-1eb5-4c47-82de-edcc825ca4cc,Ethereum,curve-dex,CDAI-CUSDC,4773440,2.85035,1.09766,3.94802,['0xD533a949740bb3306d119CC777fa900bA034cd52'],-0.34632,-1.38815,0.33059,True,no,multi,,2.2668,0.05523,545,False,"['0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643', '0x39AA39c021dfbaE8faC545936693aC917d5E7563']",-1e-05,,3.9774,,,,Down,60.0,1.0
12d235e5-e7b2-49cc-a5a9-4d14926f6e92,Ethereum,sommelier,USDC-USDT-DAI,4455101,3.82378,0.0,3.82378,['0xa670d7237398238de01267472c6f13e5b8010fd1'],2.39351,-1.77139,-0.52866,True,no,multi,RealYieldUSD,13.21806,1.14264,185,False,"['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', '0xdAC17F958D2ee523a2206206994597C13D831ec7', '0x6B175474E89094C44Da98b954EedeAC495271d0F']",,4.83698,5.35047,,,,Down,52.0,1.0
e0fd0e7b-eb83-42b7-9777-7fc9ddf3008a,Ethereum,gearbox,DAI,4092508,0.62181,2.84775,3.46955,['0xBa3335588D9403515223F109EdC4eB7269a9Ab5D'],0.08204,0.05194,-0.17488,True,no,single,,5.2361,0.50984,329,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,3.45803,,,,Down,51.0,1.0
0b8fec3b-a715-4803-94ce-9fe3b7520b23,Ethereum,spark,SDAI,4034800,0.0,,0.0,,0.0,0.0,0.0,True,no,single,,0.0,0.0,60,False,['0x83F20F44975D03b1b09e64809B757c47f942BEeA'],,,0.0,,,,,,
cd433c08-70b5-4c4a-9600-9bf27753786a,Ethereum,iron-bank,USDT,3914277,5.8567,,5.8567,,0.0013,-1.8894,-2.1246,True,no,single,,10.82135,0.58124,390,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,7.76941,,,,Down,56.99999999999999,1.0
1e6a12f5-687c-4ce6-8416-af38f17954ea,Ethereum,morpho-compound,DAI,3863057,2.28095,1.09105,3.372,['0xc00e94cb662c3520282e6f5717214004a7f26888'],0.08984,-0.9274,-0.75722,True,no,single,,2.20107,0.03516,355,False,['0x6b175474e89094c44da98b954eedeac495271d0f'],,,3.85891,,,,Stable/Up,60.0,1.0
de91ccee-cb64-43be-b1d8-124f79ef62a0,Ethereum,uniswap-v3,LUSD-USDC,3393044,3.47325,,3.47325,,,0.6041,1.88999,True,no,multi,0.05%,7.85473,0.59409,541,False,"['0x5f98805a4e8be255a32880fdec7f6728c6568ba0', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48']",-0.07534,0.0,4.31715,645746.62673,5759607.72847,,Down,59.0,1.0
7ebdfb16-c379-43f8-8856-1303a56f2a02,Ethereum,gearbox,USDC,3276377,0.63512,4.75395,5.38907,['0xBa3335588D9403515223F109EdC4eB7269a9Ab5D'],0.12922,0.70854,-2.00935,True,no,single,,4.8402,0.48219,329,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,5.75244,,,,Down,79.0,3.0
e78f64a8-295d-4441-82e4-d05ebd1a8b38,Ethereum,convex-finance,CDAI-CUSDC,3147684,2.85035,2.88451,5.73487,"['0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b']",-0.27772,-1.51086,0.6082,True,no,multi,,3.07762,0.08154,546,False,"['0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643', '0x39AA39c021dfbaE8faC545936693aC917d5E7563']",,,5.50345,,,,Down,68.0,2.0
f9dd23c2-7fe7-46d5-bdbd-4c66b86277b7,Ethereum,vesper,FRAX,3087917,11.89,0.0,11.89,[],5.75,8.04,-11.21,True,no,single,Aggressive,4.6927,0.20955,456,False,['0x853d955aCEf822Db058eb8505911ED77F175b99e'],,54.42,11.41696,,,,Down,92.0,3.0
